Where_at,What_moved,NNI_sp,total_count
"(N,(M,(K,L)));","(F,(I,(C,G)));",2,15
"(F,(I,(C,G)));","(N,(M,(K,L)));",2,15
"(O,(P,(Q,R)));","(M,N);",4,1
"(M,N);","(O,(P,(Q,R)));",4,1
T;,P;,3,5
P;,T;,3,5
J;,F;,3,3
F;,J;,3,3
"(J,(((C,I),(D,H)),(E,(F,G))));",L;,2,4
L;,"(J,(((C,I),(D,H)),(E,(F,G))));",2,4
"(J,(((C,I),(D,H)),(E,(F,G))));",N;,2,1
N;,"(J,(((C,I),(D,H)),(E,(F,G))));",2,1
"(V,W);",S;,4,1
S;,"(V,W);",4,1
F;,D;,4,1
D;,F;,4,1
"(N,(M,(K,L)));",E;,3,3
E;,"(N,(M,(K,L)));",3,3
J;,D;,3,2
D;,J;,3,2
"(F,G);",H;,3,2
H;,"(F,G);",3,2
J;,I;,3,1
I;,J;,3,1
"((V,W),(B,U));","(P,(Q,R));",4,1
"(P,(Q,R));","((V,W),(B,U));",4,1
"(D,H);",C;,3,4
C;,"(D,H);",3,4
"(J,(((C,I),(D,H)),(E,(F,G))));",S;,3,1
S;,"(J,(((C,I),(D,H)),(E,(F,G))));",3,1
"(D,H);",F;,3,2
F;,"(D,H);",3,2
G;,D;,4,2
D;,G;,4,2
"(((C,I),(D,H)),(E,(F,G)));",T;,3,4
T;,"(((C,I),(D,H)),(E,(F,G)));",3,4
N;,L;,2,4
L;,N;,2,4
"(F,(I,(C,G)));","(M,N);",3,4
"(M,N);","(F,(I,(C,G)));",3,4
"(T,(S,(O,(P,(Q,R)))));","(E,(D,H));",3,2
"(E,(D,H));","(T,(S,(O,(P,(Q,R)))));",3,2
"(S,(O,(P,(Q,R))));","(K,L);",3,1
"(K,L);","(S,(O,(P,(Q,R))));",3,1
"((V,W),(B,U));","(K,L);",3,2
"(K,L);","((V,W),(B,U));",3,2
"(E,(D,H));","(M,N);",3,1
"(M,N);","(E,(D,H));",3,1
"(F,(I,(C,G)));",T;,4,1
T;,"(F,(I,(C,G)));",4,1
L;,J;,3,1
J;,L;,3,1
"(N,(M,(K,L)));",G;,4,1
G;,"(N,(M,(K,L)));",4,1
"(J,(((C,I),(D,H)),(E,(F,G))));","(B,U);",3,1
"(B,U);","(J,(((C,I),(D,H)),(E,(F,G))));",3,1
"((V,W),(B,U));","(((C,I),(D,H)),(E,(F,G)));",3,1
"(((C,I),(D,H)),(E,(F,G)));","((V,W),(B,U));",3,1
"((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));","(P,(Q,R));",3,2
"(P,(Q,R));","((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));",3,2
"(K,L);",T;,3,1
T;,"(K,L);",3,1
S;,Q;,3,3
Q;,S;,3,3
"(J,(((C,I),(D,H)),(E,(F,G))));",M;,2,3
M;,"(J,(((C,I),(D,H)),(E,(F,G))));",2,3
"(J,(((C,I),(D,H)),(E,(F,G))));","(P,(Q,R));",4,1
"(P,(Q,R));","(J,(((C,I),(D,H)),(E,(F,G))));",4,1
"((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));",P;,4,1
P;,"((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));",4,1
"(N,(M,(K,L)));","(D,H);",3,1
"(D,H);","(N,(M,(K,L)));",3,1
"(S,(O,(P,(Q,R))));",N;,4,1
N;,"(S,(O,(P,(Q,R))));",4,1
"((V,W),(B,U));","(O,(P,(Q,R)));",3,2
"(O,(P,(Q,R)));","((V,W),(B,U));",3,2
"(O,(P,(Q,R)));",J;,4,1
J;,"(O,(P,(Q,R)));",4,1
"(M,N);","(D,H);",4,1
"(D,H);","(M,N);",4,1
W;,U;,2,1
U;,W;,2,1
"(T,(S,(O,(P,(Q,R)))));",N;,3,1
N;,"(T,(S,(O,(P,(Q,R)))));",3,1
E;,C;,3,1
C;,E;,3,1
"(T,(S,(O,(P,(Q,R)))));",G;,5,1
G;,"(T,(S,(O,(P,(Q,R)))));",5,1
"(S,(O,(P,(Q,R))));","(V,W);",3,1
"(V,W);","(S,(O,(P,(Q,R))));",3,1
